"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",CAR,"RB1","13","2 out of 5 stars","0"
"2",1,"Dalvin Cook",MIN,"RB2","7","3 out of 5 stars","0"
"3",1,"Alvin Kamara",NO,"RB3","6","2 out of 5 stars","0"
"4",1,"Davante Adams",GB,"WR1","13","1 out of 5 stars","+2"
"5",1,"Ezekiel Elliott",DAL,"RB4","7","2 out of 5 stars","0"
"6",1,"Derrick Henry",TEN,"RB5","13","3 out of 5 stars","-2"
"7",1,"Austin Ekeler",LAC,"RB6","7","4 out of 5 stars","+6"
"8",1,"Aaron Jones",GB,"RB7","13","0 out of 5 stars","+1"
"9",2,"Tyreek Hill",KC,"WR2","12","3 out of 5 stars","+3"
"10",2,"Stefon Diggs",BUF,"WR3","7","3 out of 5 stars","+4"
"11",2,"Saquon Barkley",NYG,"RB8","10","2 out of 5 stars","-4"
"12",2,"DeAndre Hopkins",ARI,"WR4","12","2 out of 5 stars","+4"
"13",2,"Calvin Ridley",ATL,"WR5","6","4 out of 5 stars","+7"
"14",2,"Travis Kelce",KC,"TE1","12","3 out of 5 stars","-6"
"15",2,"Jonathan Taylor",IND,"RB9","14","4 out of 5 stars","-4"
"16",3,"Nick Chubb",CLE,"RB10","13","4 out of 5 stars","-6"
"17",3,"Justin Jefferson",MIN,"WR6","7","3 out of 5 stars","+6"
"18",3,"D.K. Metcalf",SEA,"WR7","9","1 out of 5 stars","+1"
"19",3,"Darren Waller",LV,"TE2","8","4 out of 5 stars","+3"
"20",3,"Antonio Gibson",WAS,"RB11","9","3 out of 5 stars","-3"
"21",3,"A.J. Brown",TEN,"WR8","13","3 out of 5 stars","+4"
"22",3,"Keenan Allen",LAC,"WR9","7","3 out of 5 stars","+5"
"23",3,"Joe Mixon",CIN,"RB12","10","3 out of 5 stars","-2"
"24",3,"Allen Robinson II",CHI,"WR10","10","3 out of 5 stars","+7"
"25",3,"Patrick Mahomes II",KC,"QB1","12","4 out of 5 stars","-7"
"26",3,"Najee Harris",PIT,"RB13","7","5 out of 5 stars","-11"
"27",3,"George Kittle",SF,"TE3","6","4 out of 5 stars","-1"
"28",3,"Clyde Edwards-Helaire",KC,"RB14","12","4 out of 5 stars","-4"
"29",3,"Terry McLaurin",WAS,"WR11","9","3 out of 5 stars","-1"
"30",3,"CeeDee Lamb",DAL,"WR12","7","1 out of 5 stars","+2"
"31",3,"Robert Woods",LAR,"WR13","11","5 out of 5 stars","+7"
"32",4,"D'Andre Swift",DET,"RB15","9","0 out of 5 stars","+2"
"33",4,"Amari Cooper",DAL,"WR14","7","1 out of 5 stars","+7"
"34",4,"Chris Godwin",TB,"WR15","9","2 out of 5 stars","+7"
"35",4,"Chris Carson",SEA,"RB16","9","1 out of 5 stars","-2"
"36",4,"David Montgomery",CHI,"RB17","10","3 out of 5 stars","-6"
"37",4,"Mike Evans",TB,"WR16","9","2 out of 5 stars","-2"
"38",4,"Cooper Kupp",LAR,"WR17","11","5 out of 5 stars","+7"
"39",4,"James Robinson",JAC,"RB18","7","4 out of 5 stars","+3"
"40",4,"D.J. Moore",CAR,"WR18","13","5 out of 5 stars","+11"
"41",4,"Josh Allen",BUF,"QB2","7","1 out of 5 stars","-12"
"42",4,"Diontae Johnson",PIT,"WR19","7","2 out of 5 stars","+10"
"43",4,"Tyler Lockett",SEA,"WR20","9","1 out of 5 stars","+5"
"44",4,"Julio Jones",TEN,"WR21","13","3 out of 5 stars","-1"
"45",4,"Miles Sanders",PHI,"RB19","14","3 out of 5 stars","-8"
"46",4,"Kyler Murray",ARI,"QB3","12","2 out of 5 stars","-7"
"47",4,"Tee Higgins",CIN,"WR22","10","2 out of 5 stars","+17"
"48",4,"Josh Jacobs",LV,"RB20","8","2 out of 5 stars","-12"
"49",4,"Adam Thielen",MIN,"WR23","7","3 out of 5 stars","-2"
"50",4,"T.J. Hockenson",DET,"TE4","9","4 out of 5 stars","+8"
"51",4,"Mike Davis",ATL,"RB21","6","2 out of 5 stars","+3"
"52",5,"Mark Andrews",BAL,"TE5","8","4 out of 5 stars","-2"
"53",5,"Lamar Jackson",BAL,"QB4","8","2 out of 5 stars","-9"
"54",5,"Kyle Pitts",ATL,"TE6","6","2 out of 5 stars","-8"
"55",5,"Brandon Aiyuk",SF,"WR24","6","5 out of 5 stars","+5"
"56",5,"Darrell Henderson",LAR,"RB22","11","4 out of 5 stars","+3"
"57",5,"Kareem Hunt",CLE,"RB23","13","4 out of 5 stars","-4"
"58",5,"Myles Gaskin",MIA,"RB24","14","4 out of 5 stars","-9"
"59",5,"Dak Prescott",DAL,"QB5","7","2 out of 5 stars","-3"
"60",5,"Gus Edwards",BAL,"RB25","8","4 out of 5 stars","+31"
"61",5,"Odell Beckham Jr.",CLE,"WR25","13","1 out of 5 stars","+4"
"62",5,"Chase Claypool",PIT,"WR26","7","2 out of 5 stars","+5"
"63",5,"JuJu Smith-Schuster",PIT,"WR27","7","2 out of 5 stars","+5"
"64",5,"Jerry Jeudy",DEN,"WR28","11","4 out of 5 stars","+8"
"65",5,"Kenny Golladay",NYG,"WR29","10","3 out of 5 stars","+4"
"66",5,"Chase Edmonds",ARI,"RB26","12","3 out of 5 stars","-4"
"67",5,"Russell Wilson",SEA,"QB6","9","0 out of 5 stars","-12"
"68",5,"Ja'Marr Chase",CIN,"WR30","10","2 out of 5 stars","-2"
"69",5,"Robby Anderson",CAR,"WR31","13","5 out of 5 stars","+7"
"70",5,"Tyler Boyd",CIN,"WR32","10","2 out of 5 stars","+16"
"71",5,"Aaron Rodgers",GB,"QB7","13","2 out of 5 stars","-14"
"72",5,"Javonte Williams",DEN,"RB27","11","5 out of 5 stars","-11"
"73",5,"Courtland Sutton",DEN,"WR33","11","4 out of 5 stars","+4"
"74",5,"Damien Harris",NE,"RB28","14","3 out of 5 stars","0"
"75",5,"Justin Herbert",LAC,"QB8","7","2 out of 5 stars","-12"
"76",6,"Brandin Cooks",HOU,"WR34","10","3 out of 5 stars","+13"
"77",6,"Deebo Samuel",SF,"WR35","6","5 out of 5 stars","+5"
"78",6,"Noah Fant",DEN,"TE7","11","4 out of 5 stars","+1"
"79",6,"Raheem Mostert",SF,"RB29","6","3 out of 5 stars","-6"
"80",6,"Logan Thomas",WAS,"TE8","9","3 out of 5 stars","0"
"81",6,"Melvin Gordon III",DEN,"RB30","11","5 out of 5 stars","-3"
"82",6,"Tom Brady",TB,"QB9","9","2 out of 5 stars","-11"
"83",6,"Corey Davis",NYJ,"WR36","6","4 out of 5 stars","+15"
